,Company Name,Job Title,Salaries Reported,Location,Salary
0,Mu Sigma,Data Scientist,105,Bangalore,648573.0
1,IBM,Data Scientist,95,Bangalore,1191950.0
2,Tata Consultancy Services,Data Scientist,66,Bangalore,836874.0
3,Impact Analytics,Data Scientist,40,Bangalore,669578.0
4,Accenture,Data Scientist,32,Bangalore,944110.0
5,Infosys,Data Scientist,30,Bangalore,908764.0
6,Capgemini,Data Scientist,28,Bangalore,926124.0
7,Cognizant Technology Solutions,Data Scientist,26,Bangalore,736708.0
8,Anheuser-Busch InBev,Data Scientist,25,Bangalore,1646721.0
9,Fractal,Data Scientist,22,Bangalore,1392960.0
10,Embibe,Data Scientist,20,Bangalore,1404773.0
11,Amazon,Data Scientist,19,Bangalore,1507343.0
12,Google,Data Scientist,19,Bangalore,1558095.0
13,Flipkart,Data Scientist,18,Bangalore,2557843.0
14,HP Inc.,Data Scientist,16,Bangalore,1510081.0
15,Wipro,Data Scientist,15,Bangalore,732821.0
16,Ericsson-Worldwide,Data Scientist,15,Bangalore,1221750.0
17,MiQ,Data Scientist,15,Bangalore,1739484.0
18,Deloitte,Data Scientist,14,Bangalore,1124939.0
19,Microsoft,Data Scientist,14,Bangalore,1630396.0
20,Genpact,Data Scientist,14,Bangalore,1009436.0
21,Fresher,Data Scientist,14,Bangalore,550980.0
22,Société Générale,Data Scientist,13,Bangalore,1870000.0
23,Flutura,Data Scientist,13,Bangalore,758376.0
24,Fuzzy Logix,Data Scientist,13,Bangalore,1556575.0
25,DXC Technology,Data Scientist,12,Bangalore,1194327.0
26,Jio,Data Scientist,11,Bangalore,1470000.0
27,Honeywell,Data Scientist,10,Bangalore,1549942.0
28,Affine,Data Scientist,10,Bangalore,1009436.0
29,Philips,Data Scientist,9,Bangalore,1541572.0
30,Bharat Light & Power,Data Scientist,9,Bangalore,811182.0
31,Antuit,Data Scientist,9,Bangalore,1205874.0
32,Nielsen,Data Scientist,9,Bangalore,727111.0
33,[24]7.ai,Data Scientist,9,Bangalore,1923257.0
34,Fidelity Investments,Data Scientist,9,Bangalore,2143501.0
35,Myntra,Data Scientist,9,Bangalore,1926965.0
36,First Student,Data Scientist,9,Bangalore,495252.0
37,Oracle,Data Scientist,8,Bangalore,1294984.0
38,Ola,Data Scientist,8,Bangalore,2334960.0
39,Walmart Global Tech,Data Scientist,8,Bangalore,2267616.0
40,Tredence,Data Scientist,8,Bangalore,1366992.0
41,Intel Corporation,Data Scientist,8,Bangalore,1453427.0
42,Mercedes-Benz Research and Development India,Data Scientist,8,Bangalore,1458032.0
43,SAP,Data Scientist,8,Bangalore,1730166.0
44,Wipro Technologies,Data Scientist,8,Bangalore,658109.0
45,Thoucentric,Data Scientist,8,Bangalore,794460.0
46,Walmart,Data Scientist,8,Bangalore,2567381.0
47,Brillio,Data Scientist,8,Bangalore,1637231.0
48,Great Learning,Data Scientist,7,Bangalore,900000.0
49,Gramener,Data Scientist,7,Bangalore,902935.0
50,HCL Technologies,Data Scientist,7,Bangalore,970782.0
51,Happiest Minds Technologies,Data Scientist,7,Bangalore,1050000.0
52,Hewlett Packard Enterprise | HPE,Data Scientist,7,Bangalore,2119584.0
53,Noodle.ai,Data Scientist,7,Bangalore,1687111.0
54,Cisco Systems,Data Scientist,7,Bangalore,1465641.0
55,INSOFE,Data Scientist,7,Bangalore,600000.0
56,Optum,Data Scientist,7,Bangalore,1805869.0
57,Adobe,Data Scientist,6,Bangalore,2624063.0
58,ABB,Data Scientist,6,Bangalore,955297.0
59,EY,Data Scientist,6,Bangalore,761478.0
60,Swiggy,Data Scientist,6,Bangalore,2805476.0
61,Subex,Data Scientist,6,Bangalore,969112.0
62,iNeuron,Data Scientist,6,Bangalore,450979.0
63,ZS Associates,Data Scientist,6,Bangalore,1338795.0
64,Robert Bosch India,Data Scientist,6,Bangalore,1040493.0
65,Scienaptic Systems,Data Scientist,6,Bangalore,1291549.0
66,FlyNava Technologies,Data Scientist,6,Bangalore,599136.0
67,Nokia,Data Scientist,6,Bangalore,1663189.0
68,UnitedHealth Group,Data Scientist,6,Bangalore,1323387.0
69,Sigmoid Analytics,Data Scientist,6,Bangalore,1246266.0
70,Idexcel,Data Scientist,6,Bangalore,494147.0
